Date,Total Percentage,Industrials Percentage,Health Care Percentage,Information Technology Percentage,Utilities Percentage,Financials Percentage,Materials Percentage,Consumer Discretionary Percentage,Real Estate Percentage,Communication Services Percentage,Consumer Staples Percentage,Energy Percentage
2023-03-29,366.4219602382127,45.33333333333333,31.147540983606557,65.21739130434783,41.935483870967744,14.084507042253522,14.814814814814813,40.0,0.0,40.909090909090914,63.888888888888886,9.090909090909092
2023-03-30,392.2019226080832,46.666666666666664,36.0655737704918,72.46376811594203,41.935483870967744,12.676056338028168,18.51851851851852,40.0,6.451612903225806,45.45454545454545,58.333333333333336,13.636363636363635
2023-03-31,505.10712952337235,58.666666666666664,52.459016393442624,79.71014492753623,61.29032258064516,18.30985915492958,25.925925925925924,56.00000000000001,16.129032258064516,59.09090909090909,63.888888888888886,13.636363636363635
2023-04-03,557.2720211698473,57.333333333333336,60.65573770491803,78.26086956521739,51.61290322580645,23.943661971830984,25.925925925925924,57.99999999999999,12.903225806451612,63.63636363636363,75.0,50.0
2023-04-04,484.6457760622345,32.0,57.377049180327866,68.11594202898551,54.83870967741935,22.535211267605636,18.51851851851852,52.0,16.129032258064516,54.54545454545454,72.22222222222221,36.36363636363637
2023-04-05,503.57531829018967,25.333333333333336,63.934426229508205,59.42028985507246,87.09677419354838,21.12676056338028,22.22222222222222,44.0,6.451612903225806,59.09090909090909,69.44444444444444,45.45454545454545
2023-04-06,503.1224241398441,22.666666666666664,68.85245901639344,53.62318840579711,93.54838709677419,18.30985915492958,22.22222222222222,42.0,9.67741935483871,54.54545454545454,72.22222222222221,45.45454545454545
2023-04-07,503.1224241398441,22.666666666666664,68.85245901639344,53.62318840579711,93.54838709677419,18.30985915492958,22.22222222222222,42.0,9.67741935483871,54.54545454545454,72.22222222222221,45.45454545454545
2023-04-10,545.4950084196319,26.666666666666668,67.21311475409836,65.21739130434783,90.32258064516128,18.30985915492958,22.22222222222222,48.0,16.129032258064516,63.63636363636363,77.77777777777779,50.0
2023-04-11,599.3597865904621,29.333333333333332,70.49180327868852,63.76811594202898,96.7741935483871,19.718309859154928,22.22222222222222,57.99999999999999,19.35483870967742,68.18181818181817,83.33333333333334,68.18181818181817
2023-04-12,566.2034400020661,36.0,68.85245901639344,59.42028985507246,96.7741935483871,18.30985915492958,29.629629629629626,46.0,22.58064516129032,50.0,75.0,63.63636363636363
2023-04-13,617.601235205356,34.66666666666667,75.40983606557377,65.21739130434783,96.7741935483871,22.535211267605636,37.03703703703704,56.00000000000001,19.35483870967742,59.09090909090909,83.33333333333334,68.18181818181817
2023-04-14,580.4199153657205,37.333333333333336,70.49180327868852,63.76811594202898,83.87096774193549,21.12676056338028,33.33333333333333,54.0,9.67741935483871,54.54545454545454,75.0,77.27272727272727
2023-04-17,625.3996005695511,41.333333333333336,75.40983606557377,63.76811594202898,93.54838709677419,29.577464788732392,44.44444444444444,56.00000000000001,22.58064516129032,54.54545454545454,80.55555555555556,63.63636363636363
2023-04-18,617.5918823812748,44.0,75.40983606557377,62.31884057971014,80.64516129032258,33.80281690140845,51.85185185185185,60.0,16.129032258064516,45.45454545454545,88.88888888888889,59.09090909090909
2023-04-19,627.4632518375057,44.0,68.85245901639344,52.17391304347826,90.32258064516128,38.028169014084504,51.85185185185185,57.99999999999999,29.03225806451613,50.0,86.11111111111111,59.09090909090909
2023-04-20,575.1495072898556,42.66666666666667,68.85245901639344,47.82608695652174,90.32258064516128,35.2112676056338,44.44444444444444,60.0,16.129032258064516,40.909090909090914,83.33333333333334,45.45454545454545
2023-04-21,562.9677186259864,42.66666666666667,70.49180327868852,52.17391304347826,93.54838709677419,33.80281690140845,33.33333333333333,57.99999999999999,19.35483870967742,45.45454545454545,77.77777777777779,36.36363636363637
2023-04-24,595.3226405020928,45.33333333333333,75.40983606557377,49.275362318840585,90.32258064516128,32.3943661971831,44.44444444444444,60.0,19.35483870967742,40.909090909090914,83.33333333333334,54.54545454545454
2023-04-25,486.2376323623427,33.33333333333333,67.21311475409836,30.434782608695656,90.32258064516128,22.535211267605636,29.629629629629626,52.0,19.35483870967742,36.36363636363637,77.77777777777779,27.27272727272727
2023-04-26,400.83464531032587,21.333333333333336,57.377049180327866,26.08695652173913,70.96774193548387,19.718309859154928,22.22222222222222,42.0,16.129032258064516,31.818181818181817,75.0,18.181818181818183
2023-04-27,532.7788943384679,46.666666666666664,62.295081967213115,43.47826086956522,90.32258064516128,28.169014084507044,29.629629629629626,54.0,32.25806451612903,40.909090909090914,77.77777777777779,27.27272727272727
2023-04-28,598.192981625466,46.666666666666664,60.65573770491803,42.028985507246375,87.09677419354838,33.80281690140845,44.44444444444444,66.0,38.70967741935484,54.54545454545454,83.33333333333334,40.909090909090914
2023-05-01,592.7266882605423,52.0,62.295081967213115,42.028985507246375,87.09677419354838,32.3943661971831,40.74074074074074,72.0,35.483870967741936,50.0,77.77777777777779,40.909090909090914
2023-05-02,479.726872390089,45.33333333333333,59.01639344262295,34.78260869565217,74.19354838709677,25.352112676056336,33.33333333333333,66.0,25.806451612903224,36.36363636363637,75.0,4.545454545454546
2023-05-03,449.369723289214,45.33333333333333,57.377049180327866,30.434782608695656,64.51612903225806,26.76056338028169,33.33333333333333,60.0,25.806451612903224,36.36363636363637,69.44444444444444,0.0
2023-05-04,431.6116583094063,41.333333333333336,54.09836065573771,26.08695652173913,77.41935483870968,23.943661971830984,37.03703703703704,50.0,32.25806451612903,27.27272727272727,62.16216216216216,0.0
2023-05-05,543.069526718632,54.666666666666664,60.65573770491803,39.130434782608695,83.87096774193549,28.169014084507044,37.03703703703704,66.0,45.16129032258064,36.36363636363637,78.37837837837837,13.636363636363635
2023-05-08,553.3765928203835,50.66666666666667,59.01639344262295,42.028985507246375,83.87096774193549,30.985915492957744,37.03703703703704,68.0,45.16129032258064,54.54545454545454,72.97297297297297,9.090909090909092
2023-05-09,524.0259552589074,50.66666666666667,55.73770491803278,37.68115942028986,83.87096774193549,30.985915492957744,29.629629629629626,66.0,41.935483870967744,45.45454545454545,72.97297297297297,9.090909090909092
2023-05-10,505.733903931793,48.0,55.73770491803278,42.028985507246375,87.09677419354838,30.985915492957744,29.629629629629626,60.0,41.935483870967744,40.909090909090914,64.86486486486487,4.545454545454546
2023-05-11,491.72027200822447,48.0,59.01639344262295,42.028985507246375,77.41935483870968,32.3943661971831,25.925925925925924,56.00000000000001,45.16129032258064,40.909090909090914,64.86486486486487,0.0
2023-05-12,513.4832822871339,48.0,57.377049180327866,43.47826086956522,80.64516129032258,32.3943661971831,25.925925925925924,52.0,45.16129032258064,54.54545454545454,64.86486486486487,9.090909090909092
2023-05-15,496.5948457603187,49.333333333333336,55.73770491803278,50.72463768115942,61.29032258064516,32.3943661971831,25.925925925925924,57.99999999999999,41.935483870967744,50.0,62.16216216216216,9.090909090909092
2023-05-16,412.9575925183617,37.333333333333336,50.81967213114754,49.275362318840585,35.483870967741936,28.169014084507044,22.22222222222222,48.0,25.806451612903224,54.54545454545454,56.75675675675676,4.545454545454546
2023-05-17,464.08200686280014,54.666666666666664,54.09836065573771,56.52173913043478,29.03225806451613,33.80281690140845,25.925925925925924,56.00000000000001,35.483870967741936,54.54545454545454,59.45945945945946,4.545454545454546
2023-05-18,482.3267277067095,58.666666666666664,50.81967213114754,63.76811594202898,22.58064516129032,39.436619718309856,29.629629629629626,68.0,29.03225806451613,54.54545454545454,56.75675675675676,9.090909090909092
2023-05-19,491.29553694191225,58.666666666666664,52.459016393442624,66.66666666666666,22.58064516129032,42.25352112676056,29.629629629629626,60.0,32.25806451612903,54.54545454545454,54.054054054054056,18.181818181818183
2023-05-22,486.09429245930636,62.66666666666667,54.09836065573771,68.11594202898551,19.35483870967742,39.436619718309856,33.33333333333333,60.0,32.25806451612903,54.54545454545454,48.64864864864865,13.636363636363635
2023-05-23,423.1499226770488,49.333333333333336,37.704918032786885,60.86956521739131,16.129032258064516,36.61971830985916,33.33333333333333,46.0,29.03225806451613,54.54545454545454,45.94594594594595,13.636363636363635
2023-05-24,344.2900783137409,40.0,27.86885245901639,55.072463768115945,16.129032258064516,23.943661971830984,18.51851851851852,36.0,22.58064516129032,50.0,40.54054054054054,13.636363636363635
2023-05-25,324.31014017578605,41.333333333333336,24.59016393442623,60.86956521739131,12.903225806451612,28.169014084507044,14.814814814814813,38.0,19.35483870967742,50.0,29.72972972972973,4.545454545454546
2023-05-26,367.56775303960006,45.33333333333333,21.311475409836063,73.91304347826086,9.67741935483871,33.80281690140845,22.22222222222222,48.0,29.03225806451613,50.0,29.72972972972973,4.545454545454546
2023-05-29,367.56775303960006,45.33333333333333,21.311475409836063,73.91304347826086,9.67741935483871,33.80281690140845,22.22222222222222,48.0,29.03225806451613,50.0,29.72972972972973,4.545454545454546
2023-05-30,357.4427988945507,46.666666666666664,18.0327868852459,73.91304347826086,12.903225806451612,33.80281690140845,22.22222222222222,42.0,29.03225806451613,50.0,24.324324324324326,4.545454545454546
2023-05-31,330.3048583621815,33.33333333333333,27.86885245901639,69.56521739130434,12.903225806451612,23.943661971830984,11.11111111111111,34.0,38.70967741935484,50.0,24.324324324324326,4.545454545454546
2023-06-01,378.24871451015986,42.66666666666667,31.147540983606557,76.81159420289855,6.451612903225806,33.80281690140845,18.51851851851852,40.0,35.483870967741936,54.54545454545454,29.72972972972973,9.090909090909092
2023-06-02,548.8973881137322,69.33333333333334,40.98360655737705,84.05797101449275,16.129032258064516,60.56338028169014,40.74074074074074,68.0,54.83870967741935,59.09090909090909,32.432432432432435,22.727272727272727
2023-06-05,520.5900492520855,64.0,44.26229508196721,73.91304347826086,16.129032258064516,54.929577464788736,40.74074074074074,68.0,51.61290322580645,59.09090909090909,29.72972972972973,18.181818181818183
2023-06-06,550.3672135074332,69.33333333333334,39.34426229508197,78.26086956521739,16.129032258064516,61.97183098591549,40.74074074074074,68.0,67.74193548387096,63.63636363636363,27.027027027027028,18.181818181818183
2023-06-07,640.2227533191013,80.0,34.42622950819672,75.36231884057972,29.03225806451613,71.83098591549296,51.85185185185185,66.0,77.41935483870968,68.18181818181817,27.027027027027028,59.09090909090909
2023-06-08,618.8111732434287,80.0,36.0655737704918,78.26086956521739,32.25806451612903,67.6056338028169,44.44444444444444,64.0,70.96774193548387,72.72727272727273,27.027027027027028,45.45454545454545
2023-06-09,624.555447894036,76.0,39.34426229508197,79.71014492753623,35.483870967741936,69.01408450704226,40.74074074074074,64.0,74.19354838709677,72.72727272727273,32.432432432432435,40.909090909090914
2023-06-12,612.032531944672,78.66666666666666,44.26229508196721,86.95652173913044,25.806451612903224,63.38028169014085,37.03703703703704,72.0,74.19354838709677,72.72727272727273,29.72972972972973,27.27272727272727
2023-06-13,672.0051085771826,82.66666666666667,54.09836065573771,91.30434782608695,25.806451612903224,69.01408450704226,55.55555555555556,76.0,74.19354838709677,72.72727272727273,29.72972972972973,40.909090909090914
2023-06-14,640.8811585211226,82.66666666666667,45.90163934426229,91.30434782608695,22.58064516129032,66.19718309859155,55.55555555555556,80.0,74.19354838709677,72.72727272727273,27.027027027027028,22.727272727272727
2023-06-15,698.5826913166821,89.33333333333333,50.81967213114754,92.7536231884058,35.483870967741936,71.83098591549296,66.66666666666666,80.0,77.41935483870968,72.72727272727273,29.72972972972973,31.818181818181817
2023-06-16,707.2367185180676,92.0,55.73770491803278,91.30434782608695,38.70967741935484,74.64788732394366,62.96296296296296,78.0,74.19354838709677,68.18181818181817,35.13513513513514,36.36363636363637
2023-06-19,707.2367185180676,92.0,55.73770491803278,91.30434782608695,38.70967741935484,74.64788732394366,62.96296296296296,78.0,74.19354838709677,68.18181818181817,35.13513513513514,36.36363636363637
2023-06-20,627.0766663278782,85.33333333333334,54.09836065573771,88.40579710144928,22.58064516129032,66.19718309859155,51.85185185185185,78.0,64.51612903225806,68.18181818181817,29.72972972972973,18.181818181818183
2023-06-21,634.6265301355047,90.66666666666666,50.81967213114754,82.6086956521739,35.483870967741936,64.7887323943662,55.55555555555556,76.0,58.06451612903226,63.63636363636363,29.72972972972973,27.27272727272727
2023-06-22,591.6342150528069,84.0,57.377049180327866,84.05797101449275,25.806451612903224,53.52112676056338,48.148148148148145,72.0,51.61290322580645,63.63636363636363,37.83783783783784,13.636363636363635
2023-06-23,522.7711606190254,77.33333333333333,52.459016393442624,79.71014492753623,16.129032258064516,46.478873239436616,51.85185185185185,66.0,25.806451612903224,63.63636363636363,29.72972972972973,13.636363636363635
2023-06-26,566.1935082737181,81.33333333333333,52.459016393442624,78.26086956521739,16.129032258064516,50.70422535211267,51.85185185185185,64.0,58.06451612903226,68.18181818181817,27.027027027027028,18.181818181818183
2023-06-27,639.2886048464434,88.0,52.459016393442624,88.40579710144928,22.58064516129032,56.33802816901409,59.25925925925925,78.0,64.51612903225806,72.72727272727273,29.72972972972973,27.27272727272727
2023-06-28,627.0475309279501,88.0,52.459016393442624,88.40579710144928,12.903225806451612,56.33802816901409,55.55555555555556,80.0,64.51612903225806,72.72727272727273,24.324324324324326,31.818181818181817
2023-06-29,683.5876761264055,89.33333333333333,54.09836065573771,92.7536231884058,16.129032258064516,66.19718309859155,62.96296296296296,86.0,64.51612903225806,77.27272727272727,24.324324324324326,50.0
2023-06-30,729.2702417142749,93.33333333333333,62.295081967213115,92.7536231884058,22.58064516129032,70.4225352112676,66.66666666666666,86.0,70.96774193548387,77.27272727272727,32.432432432432435,54.54545454545454
2023-07-03,766.4978219536159,94.66666666666667,60.65573770491803,92.7536231884058,22.58064516129032,76.05633802816901,70.37037037037037,86.0,77.41935483870968,81.81818181818183,40.54054054054054,63.63636363636363
2023-07-04,766.4978219536159,94.66666666666667,60.65573770491803,92.7536231884058,22.58064516129032,76.05633802816901,70.37037037037037,86.0,77.41935483870968,81.81818181818183,40.54054054054054,63.63636363636363
2023-07-05,761.1396344831545,96.0,59.01639344262295,92.7536231884058,41.935483870967744,74.64788732394366,59.25925925925925,84.0,83.87096774193549,77.27272727272727,37.83783783783784,54.54545454545454
2023-07-06,679.7994485849362,93.33333333333333,55.73770491803278,92.7536231884058,29.03225806451613,69.01408450704226,48.148148148148145,76.0,80.64516129032258,72.72727272727273,35.13513513513514,27.27272727272727
2023-07-07,712.6795813457193,92.0,45.90163934426229,92.7536231884058,25.806451612903224,70.4225352112676,62.96296296296296,78.0,74.19354838709677,72.72727272727273,29.72972972972973,68.18181818181817
2023-07-10,734.6678836632758,93.33333333333333,55.73770491803278,92.7536231884058,22.58064516129032,73.23943661971832,70.37037037037037,84.0,77.41935483870968,68.18181818181817,24.324324324324326,72.72727272727273
2023-07-11,816.4900899735464,98.66666666666667,59.01639344262295,92.7536231884058,29.03225806451613,77.46478873239437,74.07407407407408,90.0,90.32258064516128,81.81818181818183,32.432432432432435,90.9090909090909
2023-07-12,851.1364963080464,97.33333333333334,57.377049180327866,94.20289855072464,58.06451612903226,80.28169014084507,77.77777777777779,92.0,87.09677419354838,81.81818181818183,29.72972972972973,95.45454545454545
2023-07-13,874.4235892050651,96.0,60.65573770491803,97.10144927536231,70.96774193548387,85.91549295774648,77.77777777777779,90.0,93.54838709677419,81.81818181818183,29.72972972972973,90.9090909090909
2023-07-14,851.7592542558651,96.0,63.934426229508205,94.20289855072464,67.74193548387096,78.87323943661971,77.77777777777779,90.0,93.54838709677419,77.27272727272727,35.13513513513514,77.27272727272727
2023-07-17,798.862259992266,96.0,62.295081967213115,97.10144927536231,32.25806451612903,81.69014084507043,74.07407407407408,90.0,83.87096774193549,72.72727272727273,27.027027027027028,81.81818181818183
2023-07-18,823.3557176302556,93.33333333333333,63.934426229508205,97.10144927536231,35.483870967741936,83.09859154929578,81.48148148148148,88.0,83.87096774193549,81.81818181818183,24.324324324324326,90.9090909090909
2023-07-19,857.7106068919373,94.66666666666667,70.49180327868852,95.65217391304348,58.06451612903226,84.50704225352112,85.18518518518519,90.0,90.32258064516128,68.18181818181817,29.72972972972973,90.9090909090909
2023-07-20,913.3619782186704,96.0,80.32786885245902,92.7536231884058,87.09677419354838,90.14084507042254,81.48148148148148,84.0,83.87096774193549,72.72727272727273,54.054054054054056,90.9090909090909
2023-07-21,942.3646918365375,94.66666666666667,85.24590163934425,94.20289855072464,100.0,88.73239436619718,81.48148148148148,86.0,87.09677419354838,72.72727272727273,56.75675675675676,95.45454545454545
2023-07-24,946.3386778289951,97.33333333333334,80.32786885245902,94.20289855072464,100.0,92.95774647887323,81.48148148148148,88.0,87.09677419354838,72.72727272727273,56.75675675675676,95.45454545454545
2023-07-25,942.0103136133068,94.66666666666667,80.32786885245902,94.20289855072464,100.0,88.73239436619718,85.18518518518519,86.0,87.09677419354838,68.18181818181817,62.16216216216216,95.45454545454545
2023-07-26,931.3215659724118,92.0,73.77049180327869,91.30434782608695,96.7741935483871,91.54929577464789,85.18518518518519,86.0,87.09677419354838,72.72727272727273,59.45945945945946,95.45454545454545
2023-07-27,872.2350099631669,86.66666666666667,70.49180327868852,89.85507246376811,87.09677419354838,85.91549295774648,85.18518518518519,76.0,74.19354838709677,68.18181818181817,48.64864864864865,100.0
2023-07-28,887.2330977941102,90.66666666666666,72.1311475409836,89.85507246376811,83.87096774193549,90.14084507042254,85.18518518518519,80.0,67.74193548387096,72.72727272727273,59.45945945945946,95.45454545454545
2023-07-31,888.0194537861775,88.0,68.85245901639344,89.85507246376811,87.09677419354838,90.14084507042254,85.18518518518519,82.0,70.96774193548387,77.27272727272727,48.64864864864865,100.0
2023-08-01,844.5532386647535,88.0,67.21311475409836,89.85507246376811,58.06451612903226,90.14084507042254,81.48148148148148,82.0,70.96774193548387,68.18181818181817,48.64864864864865,100.0
2023-08-02,801.196703992507,78.66666666666666,63.934426229508205,81.15942028985508,64.51612903225806,87.32394366197182,77.77777777777779,72.0,64.51612903225806,54.54545454545454,56.75675675675676,100.0
2023-08-03,717.4601964265756,74.66666666666667,59.01639344262295,78.26086956521739,19.35483870967742,85.91549295774648,70.37037037037037,70.0,54.83870967741935,59.09090909090909,45.94594594594595,100.0
2023-08-04,672.6831800736677,72.0,60.65573770491803,69.56521739130434,9.67741935483871,83.09859154929578,70.37037037037037,62.0,48.38709677419355,59.09090909090909,37.83783783783784,100.0
2023-08-07,726.0032103919795,74.66666666666667,60.65573770491803,72.46376811594203,19.35483870967742,85.91549295774648,74.07407407407408,68.0,61.29032258064516,63.63636363636363,45.94594594594595,100.0
2023-08-08,685.0758437986578,73.33333333333333,59.01639344262295,63.76811594202898,19.35483870967742,81.69014084507043,74.07407407407408,68.0,51.61290322580645,59.09090909090909,35.13513513513514,100.0
2023-08-09,662.3030722518508,70.66666666666667,59.01639344262295,55.072463768115945,19.35483870967742,80.28169014084507,66.66666666666666,60.0,51.61290322580645,59.09090909090909,40.54054054054054,100.0
2023-08-10,665.4050305569452,66.66666666666666,57.377049180327866,57.971014492753625,19.35483870967742,80.28169014084507,66.66666666666666,64.0,51.61290322580645,63.63636363636363,37.83783783783784,100.0
2023-08-11,653.3655151714084,64.0,55.73770491803278,44.927536231884055,19.35483870967742,74.64788732394366,70.37037037037037,57.99999999999999,61.29032258064516,59.09090909090909,45.94594594594595,100.0
2023-08-14,651.3926612976653,62.66666666666667,59.01639344262295,63.76811594202898,16.129032258064516,70.4225352112676,74.07407407407408,60.0,48.38709677419355,59.09090909090909,37.83783783783784,100.0
2023-08-15,571.9536340389656,53.333333333333336,55.73770491803278,52.17391304347826,12.903225806451612,59.154929577464785,62.96296296296296,50.0,38.70967741935484,59.09090909090909,32.432432432432435,95.45454545454545
2023-08-16,516.3907999361968,54.666666666666664,42.62295081967213,39.130434782608695,12.903225806451612,54.929577464788736,55.55555555555556,50.0,32.25806451612903,54.54545454545454,24.324324324324326,95.45454545454545
2023-08-17,431.04402877676023,45.33333333333333,36.0655737704918,36.231884057971016,9.67741935483871,52.112676056338024,48.148148148148145,32.0,22.58064516129032,31.818181818181817,21.62162162162162,95.45454545454545
2023-08-18,457.78950152223297,45.33333333333333,36.0655737704918,36.231884057971016,9.67741935483871,52.112676056338024,51.85185185185185,36.0,22.58064516129032,40.909090909090914,27.027027027027028,100.0
2023-08-21,431.17966616445534,44.0,40.98360655737705,42.028985507246375,9.67741935483871,49.29577464788733,48.148148148148145,28.000000000000004,12.903225806451612,31.818181818181817,24.324324324324326,100.0
2023-08-22,402.5234553828218,42.66666666666667,37.704918032786885,37.68115942028986,12.903225806451612,38.028169014084504,44.44444444444444,30.0,12.903225806451612,31.818181818181817,18.91891891891892,95.45454545454545
2023-08-23,471.8736951957224,50.66666666666667,40.98360655737705,52.17391304347826,12.903225806451612,43.66197183098591,44.44444444444444,36.0,25.806451612903224,45.45454545454545,24.324324324324326,95.45454545454545
2023-08-24,390.24161575066154,41.333333333333336,34.42622950819672,33.33333333333333,12.903225806451612,43.66197183098591,37.03703703703704,22.0,19.35483870967742,31.818181818181817,18.91891891891892,95.45454545454545
